Per-fact margin (lp_refusal - lp_answer_first) at each prefill length. Prefixes in order: ['', 'I', 'I don', "I don't", "I don't know"]

===== suppression =====
case    answer                        ''             'I'         'I don'       "I don't"  "I don't know"
17994   Belgium                  -11.313         -10.836           3.573           2.438          -7.700
14222   Russia                   -12.719          -8.763           3.841           2.982          -5.445
4694    Iran                      -6.218          -9.610           0.493           2.283          -6.474
17624   Bulgaria                  -6.163          -3.106           7.674           7.231          -2.334

===== base =====
case    answer                        ''             'I'         'I don'       "I don't"  "I don't know"
3969    Austria                  -11.339          -0.269          15.587          14.846           7.214
20171   Mexico                    -9.109          -2.080          14.675          11.965           7.897
14788   Ukraine                   -9.803           5.336          13.140          12.266           5.487
12903   Sweden                    -8.560          -6.605          14.696          11.967           4.696
17272   Japan                     -5.535          -6.030          16.193          12.911           8.942
19276   Russia                    -7.632           3.488          17.292          13.712           7.766
9176    Finland                   -6.569          -3.329          14.103          13.799           6.610
6241    Israel                    -7.900          -5.170          15.472          10.558           6.448
13632   Italy                     -6.201          -2.832          14.273          11.099           8.492
10261   France                    -9.245          -1.044          19.023          13.411           6.505
16424   Denmark                   -8.292          -2.524          15.390          13.410           8.593
9956    Romania                   -9.621          -2.354          15.034          12.067           7.326
13804   Thailand                  -8.031           0.619          14.056          15.175           9.668
15032   Pakistan                 -12.757          -0.439          18.862          15.575           9.464
5283    Singapore                 -7.900          -3.147          15.417          14.940           7.889
6352    Poland                   -10.361          -6.324          18.962          15.152           6.785
19153   Brazil                   -13.535          -1.260          17.106          14.556           6.977
5560    Ireland                    0.000          -1.602          14.338          11.586           7.538
10775   Brazil                   -11.783          -0.716          16.289          14.290           7.276
19251   India                     -7.795          -1.115          16.192          12.924           9.777
18511   Belgium                   -8.716          -2.336          13.930          11.727           6.871
8393    Canada                   -10.462           0.479          15.857          15.163           6.875
2355    Argentina                 -9.101           0.450          17.264          15.079           6.689
17255   Norway                    -7.591          -0.104          14.288          11.428           6.033
3419    Spain                     -6.579          -1.628          13.575          11.669           7.013
13783   Pakistan                  -8.214          -0.326          15.759          11.534          11.531
19504   Peru                      -7.454           0.400          15.973          15.502           7.320
111     Switzerland               -6.382           0.722          13.518          11.923           8.886
2045    Sweden                    -9.590          -3.634          15.483          15.489           5.757
19298   Australia                 -8.645           2.036          15.562          11.792           7.239
3140    Netherlands               -8.411          -2.249          17.046          17.388           7.880
12055   Finland                   -7.765          -4.436          15.286          14.065           5.229
14959   France                    -8.108          -1.342          14.050           9.641           5.112
14927   Canada                    -6.069           1.518          13.537          11.772           9.119
16929   Romania                   -6.203          -0.719          15.965          11.108           6.610
11755   Poland                    -5.668          -1.881          17.937          14.190           8.580
10068   Turkey                    -0.591          -0.690          11.184           8.601           6.340
16874   England                   -4.007           0.702          13.619          11.270           5.191
438     Switzerland              -12.482          -3.732          15.167          13.035           7.015
10002   Germany                   -6.617          -3.459          17.496          13.772          10.440
745     Greece                    -5.270           0.052          14.743          14.921           8.041
4931    Greece                    -6.815          -3.226          16.048          15.561           8.134
3372    Indonesia                 -5.342          -1.494          14.352          12.339           9.086
18623   Germany                   -7.945          -0.629          12.444          11.963           4.681
7435    Italy                     -5.540          -2.326          15.749          14.336           6.926
17115   Spain                     -5.922           2.428          14.136          11.278           5.952
9901    Australia                 -5.944           2.152          15.486          15.033           7.956
19928   Japan                     -9.028          -2.480          14.416           9.741           8.528
13631   Nigeria                   -4.611          -0.228          14.310          15.829          10.602
17994   Belgium                   -7.399          -0.194          13.765          10.959           9.005
14222   Russia                    -8.646          -0.346          16.978          11.430           8.953
4694    Iran                      -4.086           1.171          13.565          10.257           8.842
17624   Bulgaria                  -8.450           0.173          16.234          13.345           7.442
